GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
753911846,20180508,201805,2018,2018.3507,CANGOV,CANADA,CAN,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,1,030," Express intent to cooperate, not specified below",030,03,1,4.0,1,1,1,-2.01005025125628,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20180508001500,https://rock1053.iheart.com/content/slayers-kerry-king-offers-a-bit-of-advice-to-a-successful-hookup/
753911847,20180508,201805,2018,2018.3507,CANGOV,CANADA,CAN,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,1,042, Make a visit,042,04,1,1.9,1,1,1,-2.60115606936416,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20180508001500,https://www.niagarafallsreview.ca/news-story/8594192-stormy-daniels-to-visit-windsor-ont-/
753911848,20180508,201805,2018,2018.3507,CANGOV,CANADA,CAN,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,1,046, Engage in negotiation,046,04,1,7.0,2,1,2,-2.01005025125628,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20180508001500,https://rock1053.iheart.com/content/slayers-kerry-king-offers-a-bit-of-advice-to-a-successful-hookup/
753911849,20180508,201805,2018,2018.3507,CANGOV,CANADA,CAN,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,0,110," Disapprove, not specified below",110,11,3,-2.0,2,1,2,-0.11299435028247999,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20180508001500,http://www.cbc.ca/news/canada/calgary/ucp-kenney-carbon-tax-power-politics-large-emitters-1.4652145
753911850,20180508,201805,2018,2018.3507,CANGOV,CANADA,CAN,,,,,GOV,,,LEG,CHAMBER,,,,,,LEG,,,0,036, Express intent to meet or negotiate,036,03,1,4.0,2,1,2,-0.84317032040472,4,"Haldimand County, Ontario, Canada",CA,CA08,12653,42.9167,-79.8333,-565789,4,"Haldimand County, Ontario, Canada",CA,CA08,12653,42.9167,-79.8333,-565789,4,"Haldimand County, Ontario, Canada",CA,CA08,12653,42.9167,-79.8333,-565789,20180508001500,http://www.delhinewsrecord.com/2018/05/07/norfolk-street-north-blue-line-falling-apart
753911851,20180508,201805,2018,2018.3507,CANGOVMED,CANADA,CAN,,,,,GOV,MED,,,,,,,,,,,,0,026, Appeal to others to meet or negotiate,026,02,1,4.0,2,1,2,0.84459459459459,4,"Quebec, Quebec, Canada",CA,CA10,12750,47.5,-72.0,-571850,0,,,,,,,,4,"Quebec, Quebec, Canada",CA,CA10,12750,47.5,-72.0,-571850,20180508001500,https://www.thestar.com/news/canada/2018/05/07/federal-immigration-minister-warns-seeking-asylum-in-canada-is-no-free-ticket.html
753911852,20180508,201805,2018,2018.3507,CANMIL,CANADIAN,CAN,,,,,MIL,,,,,,,,,,,,,0,020," Appeal, not specified below",020,02,1,3.0,6,1,6,-2.8322440087146004,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,0,,,,,,,,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20180508001500,https://mobilesyrup.com/2018/05/07/koodo-public-emergency-alert-issue-ontario/
753911853,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,,,,,,,,,,,1,010," Make statement, not specified below",010,01,1,0.0,2,1,2,0.42553191489361597,4,"Liu Hong, Sichuan, China",CH,CH32,13306,28.1406,103.211,10413556,0,,,,,,,,4,"Liu Hong, Sichuan, China",CH,CH32,13306,28.1406,103.211,10413556,20180508001500,https://www.avweb.com/avwebflash/news/China-Invests-In-Scramjet-Engines-230790-1.html
753911854,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,,,,,,,,,,,1,020," Appeal, not specified below",020,02,1,3.0,3,1,3,-0.18450184501845002,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,0,,,,,,,,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,20180508001500,http://www.mysailing.com.au/latest/clipper-sprint-points-up-for-grabs-in-a-tight-fleet
753911855,20180508,201805,2018,2018.3507,CHN,SIAN,CHN,,,,,,,,,,,,,,,,,,1,042, Make a visit,042,04,1,1.9,10,1,10,2.88350634371395,4,"Rome, Lazio, Italy",IT,IT07,18350,41.9,12.4833,-126693,0,,,,,,,,4,"Rome, Lazio, Italy",IT,IT07,18350,41.9,12.4833,-126693,20180508001500,https://www.marthastewart.com/1528470/ruth-rogers-river-cafe-home-cooking
