"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","CAMEOCodeDescription","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_ADM2Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_ADM2Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_ADM2Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
719942164,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,43," Host a visit",43,4,1,2.8,2,1,2,-3.46666666666666,4,"Shanghai, Shanghai, China","CH","CH23","13243",31.2222,121.458,"-1924465",0,"","","","",NA,NA,"",4,"Shanghai, Shanghai, China","CH","CH23","13243",31.2222,121.458,"-1924465",20180105040000,"http://idrw.org/india-preparing-for-war-jittery-chinese-scholar-makes-wild-claim/"
719942165,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",0,70," Provide aid, not specified below",70,7,2,7,2,1,2,-8.08909730363423,4,"Guangzhou, Guangdong, China","CH","CH30","13033",23.1167,113.25,"-1907161",0,"","","","",NA,NA,"",4,"Guangzhou, Guangdong, China","CH","CH30","13033",23.1167,113.25,"-1907161",20180105040000,"https://www.theepochtimes.com/as-china-bans-imports-of-foreign-waste-it-deals-with-trash-problems-of-its-own_2405035.html"
719942166,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,831," Accede to demands for change in leadership",83,8,2,5,4,1,4,-3.47222222222222,1,"China","CH","CH","",35,105,"CH",0,"","","","",NA,NA,"",1,"China","CH","CH","",35,105,"CH",20180105040000,"https://www.techspot.com/news/72591-mad-catz-returns-new-owner-new-ideas-new.html"
719942167,20180105,201801,2018,2018.0137,"CHN","CHINESE","CHN","","","","","","","","","","","","","","","","","",1,90," Investigate, not specified below",90,9,2,-2,10,1,10,2.29508196721312,4,"Wuhan, Hubei, China","CH","CH12","13124",30.5833,114.267,"-1930776",0,"","","","",NA,NA,"",4,"Wuhan, Hubei, China","CH","CH12","13124",30.5833,114.267,"-1930776",20180105040000,"https://www.marketwatch.com/story/world-class-urban-greenway-slows-pace-of-life-in-central-chinas-wuhan-2018-01-04"
719942168,20180105,201801,2018,2018.0137,"CHN","CHINESE","CHN","","","","","","","","BTN","BHUTAN","BTN","","","","","","","",1,154," Mobilize or increase armed forces ",154,15,4,-7.2,3,1,3,-1.0204081632653,1,"China","CH","CH","",35,105,"CH",4,"Ladakh, Jammu and Kashmir, India","IN","IN12","72785",34.5,77.5,"-2102224",4,"Pangong, India (general), India","IN","IN00","72785",33.6214,78.6734,"-1897937",20180105040000,"http://idrw.org/are-chinese-intrusions-in-indian-territory-part-of-a-larger-pattern/"
719942169,20180105,201801,2018,2018.0137,"CHN","CHINESE","CHN","","","","","","","","BTN","BHUTAN","BTN","","","","","","","",1,154," Mobilize or increase armed forces ",154,15,4,-7.2,7,1,7,-1.0204081632653,1,"China","CH","CH","",35,105,"CH",1,"Bhutan","BT","BT","",27.5,90.5,"BT",1,"Bhutan","BT","BT","",27.5,90.5,"BT",20180105040000,"http://idrw.org/are-chinese-intrusions-in-indian-territory-part-of-a-larger-pattern/"
719942170,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","BUS","COMPANY","","","","","","BUS","","",1,40," Consult, not specified below",40,4,1,1,2,1,2,-3.47222222222222,1,"China","CH","CH","",35,105,"CH",1,"China","CH","CH","",35,105,"CH",1,"China","CH","CH","",35,105,"CH",20180105040000,"https://www.techspot.com/news/72591-mad-catz-returns-new-owner-new-ideas-new.html"
719942171,20180105,201801,2018,2018.0137,"CHN","CHINESE","CHN","","","","","","","","BUS","CONGLOMERATE","","","","","","BUS","","",1,110," Disapprove, not specified below",110,11,3,-2,7,1,7,-2.02839756592292,1,"China","CH","CH","",35,105,"CH",1,"China","CH","CH","",35,105,"CH",1,"China","CH","CH","",35,105,"CH",20180105040000,"http://www.chronicle.co.zw/us-blocks-moneygram-sale-to-chinese-firm/"
719942172,20180105,201801,2018,2018.0137,"CHN","BEIJING","CHN","","","","","","","","CAN","CANADIAN","CAN","","","","","","","",1,40," Consult, not specified below",40,4,1,1,10,1,10,0.47244094488189,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",1,"Canada","CA","CA","",60,-96,"CA",4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",20180105040000,"https://news.bitcoin.com/canadians-harness-wind-to-mine-bitcoin-in-romania/"
719942173,20180105,201801,2018,2018.0137,"CHN","CHINESE","CHN","","","","","","","","CHNEDU","CHINA","CHN","","","","","EDU","","",1,154," Mobilize or increase armed forces ",154,15,4,-7.2,2,1,2,-3.46666666666666,4,"Shanghai, Shanghai, China","CH","CH23","13243",31.2222,121.458,"-1924465",4,"Shanghai, Shanghai, China","CH","CH23","13243",31.2222,121.458,"-1924465",4,"Shanghai, Shanghai, China","CH","CH23","13243",31.2222,121.458,"-1924465",20180105040000,"http://idrw.org/india-preparing-for-war-jittery-chinese-scholar-makes-wild-claim/"
